Year,Month,10001010
2011,03,1.62
2011,04,0.41
2011,05,0
2011,06,0
2011,07,20.53
2011,08,0
2011,09,26.86
2011,10,1.34
2011,11,8.49
2011,12,16.24
2012,01,0
2012,02,4.33
2012,03,3.44
2012,04,4.14
2012,05,0
2012,06,0
2012,07,19.87
2012,08,33.97
2012,09,5.16
2012,10,4.7
2012,11,0
2012,12,21.23
2013,01,20.48
2013,02,2.57
2013,03,3.46
2013,04,0
2013,05,0
2013,06,0
2013,07,24.49
2013,08,21.64
2013,09,17.27
2013,10,0.14
2013,11,40.02
2013,12,2.4
2014,01,0
2014,02,0
2014,03,6.63
2014,04,0.83
2014,05,0.01
2014,06,0
2014,07,16.09
2014,08,26.83
2014,09,25.62
2014,10,3.41
2014,11,0
2014,12,14.56
2015,01,18.47
2015,02,3.54
2015,03,25.12
2015,04,0.48
2015,05,9.43
2015,06,2.08
2015,07,14.91
2015,08,0.57
2015,09,7.47
